# voice profile for vits-piper-en_US-libritts_r-medium, 904 speakers
# median F0 in Hz over voiced frames of one fixed sentence; see voiceprofile.py
speaker	f0_hz	voice
0	180.7	female
1	176.4	female
2	165.8	female
3	105.0	male
4	203.2	female
5	98.9	male
6	109.2	male
7	102.1	male
8	107.6	male
9	213.0	female
10	186.9	female
11	188.5	female
12	206.1	female
13	180.7	female
14	200.5	female
15	222.7	female
16	107.6	male
17	160.9	female
18	208.0	female
19	123.9	male
20	216.2	female
21	111.9	male
22	90.0	male
23	210.0	female
24	121.2	male
25	163.3	female
26	153.1	unclear
27	96.3	male
28	143.2	unclear
29	237.1	female
30	203.2	female
31	92.3	male
32	117.3	male
33	164.6	female
34	103.5	male
35	126.4	male
36	89.6	male
37	168.3	female
38	180.7	female
39	176.4	female
40	194.3	female
41	155.3	female
42	123.9	male
43	94.8	male
44	111.4	male
45	182.2	female
46	188.5	female
47	200.5	female
48	104.0	male
49	117.3	male
50	95.9	male
51	104.0	male
52	105.0	male
53	114.8	male
54	242.3	female
55	117.3	male
56	169.6	female
57	220.5	female
58	118.6	male
59	186.9	female
60	242.3	female
61	204.2	female
62	183.8	female
63	172.3	female
64	177.8	female
65	204.2	female
66	186.9	female
67	134.0	male
68	209.0	female
69	204.2	female
70	112.5	male
71	128.2	male
72	111.6	male
73	214.1	female
74	193.4	female
75	177.8	female
76	199.6	female
77	183.8	female
78	131.2	male
79	185.3	female
80	177.1	female
81	128.9	male
82	143.2	unclear
83	206.1	female
84	133.6	male
85	212.0	female
86	97.6	male
87	170.9	female
88	143.2	unclear
89	131.2	male
90	95.0	male
91	222.7	female
92	132.8	male
93	197.8	female
94	212.0	female
95	198.6	female
96	185.3	female
97	95.5	male
98	170.9	female
99	183.8	female
100	229.7	female
101	202.3	female
102	123.9	male
103	195.1	female
104	111.1	male
105	101.6	male
106	127.5	male
107	200.5	female
108	202.3	female
109	192.6	female
110	119.2	male
111	156.4	female
112	190.1	female
113	98.4	male
114	125.3	male
115	216.2	female
116	106.0	male
117	109.2	male
118	180.7	female
119	167.7	female
120	179.3	female
121	111.9	male
122	206.1	female
123	106.5	male
124	105.0	male
125	180.7	female
126	158.6	female
127	194.3	female
128	198.6	female
129	176.4	female
130	162.1	female
131	186.9	female
132	87.8	male
133	186.9	female
134	126.0	male
135	96.1	male
136	95.5	male
137	84.5	male
138	206.1	female
139	108.6	male
140	218.3	female
141	206.1	female
142	195.1	female
143	168.3	female
144	190.1	female
145	126.0	male
146	123.9	male
147	200.5	female
148	222.7	female
149	204.2	female
150	216.2	female
151	123.2	male
152	129.7	male
153	182.2	female
154	182.2	female
155	137.4	unclear
156	111.9	male
157	193.4	female
158	149.0	unclear
159	101.6	male
160	173.6	female
161	196.9	female
162	216.2	female
163	134.5	male
164	186.9	female
165	169.6	female
166	233.3	female
167	212.0	female
168	100.5	male
169	180.7	female
170	191.7	female
171	202.3	female
172	200.5	female
173	125.3	male
174	103.0	male
175	147.0	unclear
176	126.7	male
177	218.3	female
178	177.8	female
179	180.0	female
180	211.0	female
181	104.5	male
182	91.9	male
183	121.8	male
184	167.0	female
185	168.3	female
186	89.1	male
187	104.5	male
188	169.6	female
189	117.9	male
190	125.3	male
191	121.8	male
192	188.5	female
193	180.7	female
194	178.5	female
195	196.9	female
196	174.3	female
197	166.4	female
198	113.1	male
199	122.5	male
200	116.7	male
201	123.9	male
202	179.3	female
203	115.1	male
204	117.3	male
205	186.9	female
206	182.2	female
207	216.2	female
208	147.0	unclear
209	118.9	male
210	195.1	female
211	198.6	female
212	114.2	male
213	169.6	female
214	178.5	female
215	176.4	female
216	117.9	male
217	105.5	male
218	174.3	female
219	104.5	male
220	187.7	female
